group,support,atomsAcceptor,atomsDonor,atomsHydrophobic,atomsAromatic/Hydrophobic,atomsNegative,atomsAcceptor/Negative,atomsPositive,atomsDonor/Positive,interAromatic,interHydrophobic,interHydrogen bond,interRepulsive
0,0.5,0,0,3,0,0,0,0,0,0,2,0,0
0,0.6,0,0,3,0,0,0,0,0,0,2,0,0
0,0.7,0,0,3,0,0,0,0,0,0,2,0,0
0,0.8,0,0,3,0,0,0,0,0,0,2,0,0
0,0.9,0,0,3,0,0,0,0,0,0,2,0,0
0,1.0,0,0,3,0,0,0,0,0,0,2,0,0
1,0.5,0,0,0,0,0,0,3,0,0,0,0,2
1,0.6,0,0,0,0,0,0,2,0,0,0,0,1
1,0.7,0,0,0,0,0,0,2,0,0,0,0,1
1,0.8,0,0,0,0,0,0,2,0,0,0,0,1
1,0.9,0,0,0,0,0,0,2,0,0,0,0,1
1,1.0,0,0,0,0,0,0,2,0,0,0,0,1
2,0.5,0,0,2,0,0,0,0,0,0,1,0,0
2,0.6,0,0,2,0,0,0,0,0,0,1,0,0
2,0.7,0,0,2,0,0,0,0,0,0,1,0,0
2,0.8,0,0,2,0,0,0,0,0,0,1,0,0
2,0.9,0,0,2,0,0,0,0,0,0,1,0,0
2,1.0,0,0,2,0,0,0,0,0,0,1,0,0
3,0.5,0,0,3,9,0,0,0,0,3,6,0,0
3,0.6,0,0,4,12,0,0,0,0,4,8,0,0
3,0.7,0,0,0,0,0,0,0,0,0,0,0,0
3,0.8,0,0,2,4,0,0,0,0,1,3,0,0
3,0.9,0,0,0,2,0,0,0,0,1,0,0,0
3,1.0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0,0,0,0,0,0,0,0,0,0,0,0
4,0.6,1,1,0,0,0,0,0,0,0,0,1,0
4,0.7,1,1,0,0,0,0,0,0,0,0,1,0
4,0.8,1,1,0,0,0,0,0,0,0,0,1,0
4,0.9,1,1,0,0,0,0,0,0,0,0,1,0
4,1.0,1,1,0,0,0,0,0,0,0,0,1,0
5,0.5,1,1,0,0,0,0,0,0,0,0,1,0
5,0.6,1,1,0,0,0,0,0,0,0,0,1,0
5,0.7,1,1,0,0,0,0,0,0,0,0,1,0
5,0.8,1,1,0,0,0,0,0,0,0,0,1,0
5,0.9,1,1,0,0,0,0,0,0,0,0,1,0
5,1.0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.5,0,0,0,0,0,8,8,7,24,24,29,24
6,0.6,0,0,0,0,0,8,8,8,25,25,30,25
6,0.7,0,0,0,0,0,12,11,12,28,28,37,28
6,0.8,0,0,0,0,0,4,4,2,11,11,12,11
6,0.9,0,0,0,0,0,6,6,3,13,13,15,13
6,1.0,0,0,0,0,0,2,2,2,3,3,4,3
7,0.5,0,0,17,0,0,0,0,0,0,15,0,0
7,0.6,0,0,15,0,0,0,0,0,0,12,0,0
7,0.7,0,0,10,0,0,0,0,0,0,8,0,0
7,0.8,0,0,10,0,0,0,0,0,0,8,0,0
7,0.9,0,0,5,0,0,0,0,0,0,4,0,0
7,1.0,0,0,3,0,0,0,0,0,0,2,0,0
8,0.5,0,0,0,0,2,2,4,2,11,11,12,11
8,0.6,0,0,0,0,2,2,4,2,9,9,10,9
8,0.7,0,0,0,0,2,2,4,2,9,9,10,9
8,0.8,0,0,0,0,2,2,2,2,7,7,8,7
8,0.9,0,0,0,0,1,2,1,1,2,2,3,2
8,1.0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.5,0,0,8,0,0,0,0,0,0,6,0,0
9,0.6,0,0,8,0,0,0,0,0,0,6,0,0
9,0.7,0,0,4,0,0,0,0,0,0,3,0,0
9,0.8,0,0,3,0,0,0,0,0,0,2,0,0
9,0.9,0,0,3,0,0,0,0,0,0,2,0,0
9,1.0,0,0,3,0,0,0,0,0,0,2,0,0
10,0.5,0,0,0,0,2,2,0,2,3,3,4,3
10,0.6,0,0,0,0,2,2,0,2,3,3,4,3
10,0.7,0,0,0,0,0,1,0,1,0,0,1,0
10,0.8,0,0,0,0,0,1,0,1,1,1,1,1
10,0.9,0,0,0,0,0,0,0,0,0,0,0,0
10,1.0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.5,0,0,0,0,1,0,1,0,1,1,1,1
11,0.6,0,0,0,0,1,0,1,0,1,1,1,1
11,0.7,0,0,0,0,1,0,1,0,1,1,1,1
11,0.8,0,0,0,0,1,0,1,0,1,1,1,1
11,0.9,0,0,0,0,1,0,1,0,1,1,1,1
11,1.0,0,0,0,0,1,0,1,0,1,1,1,1
12,0.5,0,0,0,0,0,0,0,0,0,0,0,0
12,0.6,0,0,0,0,0,0,0,0,0,0,0,0
12,0.7,0,0,0,0,0,0,0,0,0,0,0,0
12,0.8,0,0,0,0,0,0,0,0,0,0,0,0
12,0.9,0,0,0,0,0,0,0,0,0,0,0,0
12,1.0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.5,0,0,4,0,0,0,0,0,0,3,0,0
13,0.6,0,0,3,0,0,0,0,0,0,2,0,0
13,0.7,0,0,3,0,0,0,0,0,0,2,0,0
13,0.8,0,0,3,0,0,0,0,0,0,2,0,0
13,0.9,0,0,3,0,0,0,0,0,0,2,0,0
13,1.0,0,0,3,0,0,0,0,0,0,2,0,0
14,0.5,0,0,0,0,2,0,3,0,5,5,5,5
14,0.6,0,0,0,0,2,0,3,0,4,4,4,4
14,0.7,0,0,0,0,2,0,3,0,4,4,4,4
14,0.8,0,0,0,0,2,0,3,0,4,4,4,4
14,0.9,0,0,0,0,2,0,2,0,3,3,3,3
14,1.0,0,0,0,0,1,0,2,0,2,2,2,2
15,0.5,0,0,0,0,8,9,44,9,26,26,31,69
15,0.6,0,0,0,0,6,4,41,4,13,13,16,46
15,0.7,0,0,0,0,3,0,17,0,4,4,4,20
15,0.8,0,0,0,0,1,0,9,0,1,1,1,9
15,0.9,0,0,0,0,0,0,5,0,0,0,0,4
15,1.0,0,0,0,0,0,0,3,0,0,0,0,2
16,0.5,0,0,0,0,0,0,0,0,0,0,0,0
16,0.6,0,0,0,0,1,0,2,0,2,2,2,2
16,0.7,0,0,0,0,1,0,1,0,1,1,1,1
16,0.8,0,0,0,0,1,0,1,0,1,1,1,1
16,0.9,0,0,0,0,1,0,1,0,1,1,1,1
16,1.0,0,0,0,0,1,0,1,0,1,1,1,1
